"","proposal_ID","loc_time","loc_year","propspec","signedas","loc_month","livemonth","post_mid","congress_2","passed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","pres.maj.med","opp.sen","agendaSize","scmonths","key","critical"
"106",43,196810,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",10,22,"1","90",1,0,1,5,0,0.277399986982346,44.538,0,0,0.0314999967813492,36,2,5,1,0
"107",57,196909,1969,"revenue sharing.../4","General Revenue Sharing Act (512)",9,9,"0","91",0,6,1,2,0,0.674600005149841,69.891,0,0,0.870999976992607,58,7,4,0,1
"108",57,196912,1969,"revenue sharing.../4","General Revenue Sharing Act (512)",12,12,"0","91",0,0,0,0,0,0.674600005149841,69.993,0,0,0.870999976992607,58,7,4,0,0
"109",57,196910,1969,"revenue sharing.../4","General Revenue Sharing Act (512)",10,10,"0","91",0,59,1,3,0,0.674600005149841,67.043,0,0,0.870999976992607,58,7,4,0,1
"110",57,196911,1969,"revenue sharing.../4","General Revenue Sharing Act (512)",11,11,"0","91",0,0,1,4,1,0.674600005149841,73.718,0,0,0.870999976992607,58,7,4,0,1
"111",57,197009,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",9,21,"0","91",0,0,0,0,0,0.674600005149841,63.193,0,0,0.870999976992607,58,14,4,0,0
"112",57,197003,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",3,15,"0","91",0,3,1,3,0,0.674600005149841,64.086,0,0,0.870999976992607,58,8,4,0,1
"113",57,197005,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",5,17,"0","91",0,0,1,2,0,0.674600005149841,64.443,0,0,0.870999976992607,58,9,4,0,1
"114",57,197008,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",8,20,"0","91",0,0,0,0,0,0.674600005149841,63.013,0,0,0.870999976992607,58,11,4,0,0
"115",57,197004,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",4,16,"0","91",0,16,1,4,0,0.674600005149841,63.64,0,0,0.870999976992607,58,9,4,0,1
"116",57,197002,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",2,14,"0","91",0,0,1,2,0,0.674600005149841,70.291,0,0,0.870999976992607,58,6,4,0,1
"117",57,197001,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",1,13,"0","91",0,7,1,1,0,0.674600005149841,70.703,0,0,0.870999976992607,58,4,4,0,1
"118",57,196908,1969,"revenue sharing.../4","General Revenue Sharing Act (512)",8,8,"0","91",0,0,1,1,0,0.674600005149841,72.468,0,0,0.870999976992607,58,6,4,0,1
"119",57,197006,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",6,18,"0","91",0,0,0,0,0,0.674600005149841,63.051,0,0,0.870999976992607,58,11,4,0,0
"120",57,197010,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",10,22,"0","91",1,0,0,0,0,0.674600005149841,65.774,0,0,0.870999976992607,58,14,4,0,0
