"","nominee_Cong_ID","loc_year","nominee","nominee_ID","loc_month","loc_time","livemonth","post_mid","congress_2","confirmed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","aba2","min2","gender","renom","pending_noms","bork","nonpres","pres.maj.med","opp.sen","scmonths","key","critical"
"66",229,1991,"Albritton, William Harold",14,3,199103,3,"1","102",0,0,0,0,0,0.735400021076202,83.878,0,0,6,0,0,0,8,1,0.571429014205933,0.897000014781952,56,0,0,0
"67",229,1991,"Albritton, William Harold",14,4,199104,4,"1","102",0,0,0,0,0,0.735400021076202,77.305,0,0,6,0,0,0,15,1,0.571429014205933,0.897000014781952,56,0,0,0
"68",240,1980,"Aldrich, Ann",15,5,198005,17,"1","96",1,0,0,0,0,0.402999997138977,43.665,0,0,3,0,1,0,47,0,0.411764979362488,0.200000017881393,41,0,0,0
"69",240,1980,"Aldrich, Ann",15,4,198004,16,"1","96",0,0,0,0,1,0.402999997138977,46.079,0,0,3,0,1,0,40,0,0.411764979362488,0.200000017881393,41,0,0,0
"70",240,1980,"Aldrich, Ann",15,3,198003,15,"1","96",0,0,0,0,1,0.402999997138977,47.956,0,0,3,0,1,0,24,0,0.411764979362488,0.200000017881393,41,0,0,0
"71",261,1987,"Alesia, James H.",16,2,198702,2,"1","100",0,0,0,0,0,0.731800019741058,51.94,1,0,3,0,0,0,15,0,0.571429014205933,1.00700002908707,55,0,0,0
"72",261,1987,"Alesia, James H.",16,3,198703,3,"1","100",0,0,0,0,0,0.731800019741058,51.595,1,0,3,0,0,0,19,0,0.571429014205933,1.00700002908707,55,0,0,0
"73",261,1987,"Alesia, James H.",16,5,198705,5,"1","100",1,0,0,0,0,0.731800019741058,55.074,1,0,3,0,0,0,22,0,0.571429014205933,1.00700002908707,55,0,0,0
"74",261,1987,"Alesia, James H.",16,4,198704,4,"1","100",0,0,0,0,0,0.731800019741058,54.203,1,0,3,0,0,0,18,0,0.571429014205933,1.00700002908707,55,0,0,0
"75",306,2010,"Allen, Arenda L. Wright",18,12,201012,24,"0","111",0,0,0,0,0,0.486200004816055,49.028,0,1,4,1,1,0,64,1,0.380952000617981,0.0439999997615814,41,0,0,0
"76",328,1985,"Alley, Wayne E.",20,5,198505,5,"0","99",0,0,0,0,0,0.659799993038177,67.752,1,0,3,0,0,0,11,0,0.421052992343903,0.397000014781952,47,0,0,0
"77",328,1985,"Alley, Wayne E.",20,7,198507,7,"0","99",1,0,0,0,0,0.659799993038177,69.166,1,0,3,0,0,0,25,0,0.421052992343903,0.397000014781952,47,0,0,0
"78",328,1985,"Alley, Wayne E.",20,6,198506,6,"0","99",0,0,0,0,0,0.659799993038177,68.579,1,0,3,0,0,0,19,0,0.421052992343903,0.397000014781952,47,0,0,0
"79",356,2008,"Almond, Lincoln D.",21,12,200812,24,"1","110",0,0,0,0,0,0.839999973773956,38.192,1,0,6,0,0,0,37,1,0.526315987110138,1.05149997770786,51,0,0,0
"80",356,2008,"Almond, Lincoln D.",21,2,200802,14,"1","110",0,0,0,0,0,0.839999973773956,40.487,1,0,6,0,0,0,32,1,0.526315987110138,1.05149997770786,51,0,0,0
"81",356,2008,"Almond, Lincoln D.",21,8,200808,20,"1","110",0,0,0,0,0,0.839999973773956,40.956,1,0,6,0,0,0,44,1,0.526315987110138,1.05149997770786,51,0,0,0
"82",356,2007,"Almond, Lincoln D.",21,11,200711,11,"1","110",0,0,0,0,0,0.839999973773956,42.445,1,0,6,0,0,0,32,1,0.526315987110138,1.05149997770786,51,0,0,0
"83",356,2008,"Almond, Lincoln D.",21,9,200809,21,"1","110",0,0,0,0,0,0.839999973773956,39.261,1,0,6,0,0,0,47,1,0.526315987110138,1.05149997770786,51,0,0,0
"84",356,2008,"Almond, Lincoln D.",21,3,200803,15,"1","110",0,0,0,0,0,0.839999973773956,40.383,1,0,6,0,0,0,35,1,0.526315987110138,1.05149997770786,51,0,0,0
"85",356,2008,"Almond, Lincoln D.",21,4,200804,16,"1","110",0,0,0,0,0,0.839999973773956,38.748,1,0,6,0,0,0,40,1,0.526315987110138,1.05149997770786,51,0,0,0
"86",356,2008,"Almond, Lincoln D.",21,10,200810,22,"1","110",0,0,0,0,0,0.839999973773956,36.38,1,0,6,0,0,0,37,1,0.526315987110138,1.05149997770786,51,0,0,0
"87",356,2008,"Almond, Lincoln D.",21,11,200811,23,"1","110",0,0,0,0,0,0.839999973773956,36.625,1,0,6,0,0,0,37,1,0.526315987110138,1.05149997770786,51,0,0,0
"88",356,2008,"Almond, Lincoln D.",21,6,200806,18,"1","110",0,0,0,0,0,0.839999973773956,39.389,1,0,6,0,0,0,37,1,0.526315987110138,1.05149997770786,51,0,0,0
"89",356,2007,"Almond, Lincoln D.",21,12,200712,12,"1","110",0,0,0,0,0,0.839999973773956,42.286,1,0,6,0,0,0,34,1,0.526315987110138,1.05149997770786,51,0,0,0
"90",356,2008,"Almond, Lincoln D.",21,7,200807,19,"1","110",0,0,0,0,0,0.839999973773956,39.097,1,0,6,0,0,0,46,1,0.526315987110138,1.05149997770786,51,0,0,0
"91",356,2008,"Almond, Lincoln D.",21,5,200805,17,"1","110",0,0,0,0,0,0.839999973773956,39.969,1,0,6,0,0,0,36,1,0.526315987110138,1.05149997770786,51,0,0,0
"92",356,2008,"Almond, Lincoln D.",21,1,200801,13,"1","110",0,0,0,0,0,0.839999973773956,42.563,1,0,6,0,0,0,30,1,0.526315987110138,1.05149997770786,51,0,0,0
"93",369,1999,"Alsup, William Haskell",22,5,199905,5,"1","106",0,0,0,0,0,0.732400000095367,61.224,1,0,6,0,0,0,42,1,0.555555999279022,0.825999990105629,55,0,0,0
